Options:
Model:                           MultiState
Tree File Name:                  _tree_anura_bt.nex
Data File Name:                  _dat_anura.txt
Log File Name:                   anura_rjhp_cov_r1.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1952948202
Precision:                       64 bits
Cores:                           10
Analysis Type:                   MCMC
Sample Period:                   5000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Zero Rates:                      Yes
Schedule File:                   anura_rjhp_cov_r1.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     20
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               A,D,S,T,V
Using a covarion model:          True
Normalise Q Matrix:              False
Scale Tree:                      0.001000
Restrictions:
    qAD                          RJ MCMC
    qAS                          RJ MCMC
    qAT                          RJ MCMC
    qAV                          RJ MCMC
    qDA                          RJ MCMC
    qDS                          RJ MCMC
    qDT                          RJ MCMC
    qDV                          RJ MCMC
    qSA                          RJ MCMC
    qSD                          RJ MCMC
    qST                          RJ MCMC
    qSV                          RJ MCMC
    qTA                          RJ MCMC
    qTD                          RJ MCMC
    qTS                          RJ MCMC
    qTV                          RJ MCMC
    qVA                          qAV
    qVD                          qDV
    qVS                          qSV
    qVT                          qTV
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - Hyper Prior exp (0.00,100.00) 
        CVSwichRate - uniform 0.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       3416
     Sites:                      1
     States:                     10
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	qAD	qAS	qAT	qAV	qDA	qDS	qDT	qDV	qSA	qSD	qST	qSV	qTA	qTD	qTS	qTV	qVA	qVD	qVS	qVT	Covar On to Off	 Covar Off to On	Root P(A)	Root P(D)	Root P(S)	Root P(T)	Root P(V)	RJRates - Mean	
15000	-693.023938	1	2	5	'1 0 1 1 1 1 Z Z 1 1 1 Z 1 Z 1 Z 	0.686423	16.145086	0.686423	0.686423	0.686423	0.686423	0.000000	0.000000	0.686423	0.686423	0.686423	0.000000	0.686423	0.000000	0.686423	0.000000	0.686423	0.000000	0.000000	0.000000	4.967932	4.967932	0.999985	0.000001	0.000005	0.000008	0.000001	26.868493	
20000	-688.754600	1	2	6	'1 0 1 1 Z 1 Z Z 1 1 1 Z Z Z 1 1 	0.948552	15.975937	0.948552	0.948552	0.000000	0.948552	0.000000	0.000000	0.948552	0.948552	0.948552	0.000000	0.000000	0.000000	0.948552	0.948552	0.948552	0.000000	0.000000	0.948552	6.129221	6.129221	0.999988	0.000000	0.000009	0.000000	0.000003	10.279380	
25000	-690.091765	1	2	4	'1 0 1 1 Z 1 Z Z 1 1 1 Z 1 1 1 1 	0.915703	16.518474	0.915703	0.915703	0.000000	0.915703	0.000000	0.000000	0.915703	0.915703	0.915703	0.000000	0.915703	0.915703	0.915703	0.915703	0.915703	0.000000	0.000000	0.915703	6.331634	6.331634	0.999973	0.000000	0.000009	0.000013	0.000004	10.546032	
30000	-699.004425	1	2	2	'1 0 1 1 1 1 Z 1 1 1 1 Z 1 1 1 1 	0.791839	12.494079	0.791839	0.791839	0.791839	0.791839	0.000000	0.791839	0.791839	0.791839	0.791839	0.000000	0.791839	0.791839	0.791839	0.791839	0.791839	0.791839	0.000000	0.791839	6.197724	6.197724	0.999966	0.000003	0.000011	0.000016	0.000004	10.713618	
35000	-691.518917	1	2	5	'1 0 1 1 Z 1 Z Z 1 1 1 Z 1 1 Z 1 	0.778254	13.484707	0.778254	0.778254	0.000000	0.778254	0.000000	0.000000	0.778254	0.778254	0.778254	0.000000	0.778254	0.778254	0.000000	0.778254	0.778254	0.000000	0.000000	0.778254	5.627247	5.627247	0.999986	0.000000	0.000008	0.000004	0.000002	5.751434	
40000	-689.386497	1	2	4	'1 0 1 1 Z 1 Z Z 1 1 1 Z 1 1 1 1 	0.914831	17.100685	0.914831	0.914831	0.000000	0.914831	0.000000	0.000000	0.914831	0.914831	0.914831	0.000000	0.914831	0.914831	0.914831	0.914831	0.914831	0.000000	0.000000	0.914831	4.282746	4.282746	0.999985	0.000000	0.000005	0.000008	0.000002	5.940677	
45000	-689.646714	1	2	5	'1 0 1 1 Z 1 Z Z 1 1 1 Z 1 Z 1 1 	1.079404	18.313954	1.079404	1.079404	0.000000	1.079404	0.000000	0.000000	1.079404	1.079404	1.079404	0.000000	1.079404	0.000000	1.079404	1.079404	1.079404	0.000000	0.000000	1.079404	5.200758	5.200758	0.999974	0.000000	0.000009	0.000014	0.000004	9.632567	
50000	-688.657065	1	2	5	'1 0 1 1 Z 1 Z Z 1 1 1 Z Z 1 1 1 	0.978876	14.004362	0.978876	0.978876	0.000000	0.978876	0.000000	0.000000	0.978876	0.978876	0.978876	0.000000	0.000000	0.978876	0.978876	0.978876	0.978876	0.000000	0.000000	0.978876	5.629540	5.629540	0.999987	0.000000	0.000010	0.000000	0.000004	22.436552	
55000	-694.978148	1	2	4	'1 0 1 1 Z 1 1 Z 1 1 1 Z Z 1 1 1 	1.018720	15.161213	1.018720	1.018720	0.000000	1.018720	1.018720	0.000000	1.018720	1.018720	1.018720	0.000000	0.000000	1.018720	1.018720	1.018720	1.018720	0.000000	0.000000	1.018720	6.247007	6.247007	0.999985	0.000000	0.000011	0.000000	0.000004	19.613416	
60000	-690.359723	1	2	4	'1 0 1 1 Z 1 Z Z 1 1 1 Z 1 1 1 1 	0.753716	14.721851	0.753716	0.753716	0.000000	0.753716	0.000000	0.000000	0.753716	0.753716	0.753716	0.000000	0.753716	0.753716	0.753716	0.753716	0.753716	0.000000	0.000000	0.753716	4.144912	4.144912	0.999987	0.000000	0.000005	0.000007	0.000002	23.183070	
