Default schedule
Rate	55.56
CV	22.22
Rev Jump	11.11
Prior Change	11.11
Rate Tried	% Accepted	CV Tried	% Accepted	Rev Jump Tried	% Accepted	Prior Change Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
552	0.177536	230	0.334783	121	0.066116	97	0.989691	1.391211	782	0.223785	0.279000	0.295847	
473	0.160677	174	0.350575	120	0.016667	233	0.965665	1.391211	647	0.211747	0.364000	0.303685	
486	0.176955	202	0.346535	122	0.016393	190	0.973684	1.391211	688	0.226744	0.343000	0.310948	
550	0.172727	240	0.325000	120	0.000000	90	1.000000	1.391211	790	0.218987	0.263000	0.314256	
571	0.187391	226	0.349558	76	0.039474	127	0.952756	1.391211	797	0.233375	0.310000	0.310620	
501	0.207585	202	0.311881	114	0.017544	183	0.923497	1.391211	703	0.237553	0.338000	0.314342	
481	0.209979	209	0.311005	125	0.024000	185	0.886486	1.391211	690	0.240580	0.333000	0.316215	
548	0.178832	206	0.330097	86	0.034884	160	0.993750	1.391211	754	0.220159	0.328000	0.316534	
560	0.264286	243	0.341564	97	0.061856	100	0.960000	1.156505	803	0.287671	0.333000	0.314758	
539	0.226345	193	0.378238	100	0.020000	168	0.982143	1.156505	732	0.266393	0.362000	0.318995	
527	0.231499	202	0.361386	94	0.042553	177	1.000000	1.156505	729	0.267490	0.376000	0.324241	
509	0.245580	235	0.361702	79	0.000000	177	1.000000	1.156505	744	0.282258	0.387000	0.328167	
548	0.277372	221	0.380090	88	0.034091	143	0.993007	1.156505	769	0.306892	0.381000	0.330969	
534	0.264045	211	0.336493	87	0.045977	168	0.994048	1.156505	745	0.284564	0.383000	0.335533	
499	0.252505	218	0.472477	106	0.047170	177	0.971751	1.156505	717	0.319386	0.406000	0.338243	
528	0.206439	229	0.349345	102	0.009804	141	0.992908	1.156505	757	0.249670	0.330000	0.339530	
571	0.288967	217	0.451613	98	0.040816	114	0.964912	1.156505	788	0.333756	0.377000	0.341681	
576	0.192708	186	0.413978	85	0.035294	153	0.980392	1.156505	762	0.246719	0.341000	0.342887	
541	0.205176	205	0.390244	109	0.045872	145	0.972414	1.156505	746	0.256032	0.337000	0.342635	
486	0.244856	203	0.285714	108	0.037037	203	0.990148	1.156505	689	0.256894	0.382000	0.344288	
569	0.272408	230	0.386957	97	0.041237	104	0.990385	1.156505	799	0.305382	0.351000	0.346023	
555	0.227027	190	0.363158	97	0.041237	158	0.930380	1.156505	745	0.261745	0.346000	0.347355	
493	0.283976	200	0.445000	142	0.063380	165	0.963636	1.156505	693	0.330447	0.397000	0.347973	
527	0.273245	242	0.301653	86	0.023256	145	0.972414	1.156505	769	0.282185	0.360000	0.350367	
509	0.251473	217	0.322581	88	0.022727	186	0.913978	1.156505	726	0.272727	0.370000	0.350738	
541	0.282810	202	0.420792	102	0.009804	155	0.987097	1.156505	743	0.320323	0.392000	0.351855	
522	0.247126	214	0.345794	93	0.021505	171	0.976608	1.156505	736	0.275815	0.372000	0.352460	
495	0.234343	196	0.397959	106	0.018868	203	0.990148	1.156505	691	0.280753	0.397000	0.354138	
538	0.267658	211	0.417062	82	0.024390	169	0.976331	1.156505	749	0.309746	0.399000	0.355378	
513	0.294347	200	0.405000	102	0.058824	185	0.902703	1.156505	713	0.325386	0.405000	0.356304	
431	0.252900	187	0.374332	95	0.021053	287	0.979094	1.156505	618	0.289644	0.462000	0.357519	
500	0.242000	224	0.379464	88	0.022727	188	0.968085	1.156505	724	0.284530	0.390000	0.358121	
512	0.201172	191	0.403141	88	0.045455	209	0.976077	1.156505	703	0.256046	0.388000	0.358987	
497	0.205231	206	0.412621	102	0.019608	195	0.923077	1.156505	703	0.266003	0.369000	0.359759	
561	0.233512	208	0.341346	89	0.033708	142	0.943662	1.156505	769	0.262679	0.339000	0.359814	
506	0.231225	203	0.374384	102	0.019608	189	0.888889	1.156505	709	0.272214	0.363000	0.360193	
470	0.212766	201	0.318408	99	0.040404	230	0.960870	1.156505	671	0.244411	0.389000	0.360511	
475	0.250526	213	0.323944	118	0.050847	194	0.922680	1.156505	688	0.273256	0.373000	0.361218	
529	0.251418	216	0.324074	88	0.045455	167	0.994012	1.156505	745	0.272483	0.373000	0.361564	
507	0.250493	204	0.372549	122	0.049180	167	0.988024	1.156505	711	0.285513	0.374000	0.362027	
556	0.260791	239	0.372385	84	0.059524	121	0.991736	1.156505	795	0.294340	0.359000	0.362319	
536	0.218284	201	0.363184	98	0.030612	165	1.000000	1.156505	737	0.257802	0.358000	0.363476	
535	0.237383	224	0.397321	87	0.011494	154	0.980519	1.156505	759	0.284585	0.368000	0.364078	
503	0.280318	209	0.330144	86	0.046512	202	0.955446	1.156505	712	0.294944	0.407000	0.364333	
546	0.261905	214	0.401869	75	0.053333	165	0.945455	1.156505	760	0.301316	0.389000	0.364556	
590	0.245763	223	0.408072	76	0.052632	111	0.918919	1.156505	813	0.290283	0.342000	0.364378	
578	0.226644	199	0.351759	102	0.029412	121	0.975207	1.156505	777	0.258687	0.322000	0.364713	
456	0.274123	220	0.427273	91	0.054945	233	0.896996	1.156505	676	0.323964	0.433000	0.364435	
501	0.275449	194	0.438144	122	0.016393	183	0.983607	1.156505	695	0.320863	0.405000	0.364642	
532	0.219925	196	0.331633	109	0.055046	163	0.981595	1.156505	728	0.250000	0.348000	0.364949	
494	0.255061	235	0.314894	95	0.073684	176	0.994318	1.156505	729	0.274348	0.382000	0.365153	
529	0.226843	183	0.360656	108	0.009259	180	0.972222	1.156505	712	0.261236	0.362000	0.365506	
541	0.210721	218	0.344037	94	0.010638	147	0.993197	1.156505	759	0.249012	0.336000	0.365562	
555	0.291892	216	0.361111	89	0.056180	140	0.992857	1.156505	771	0.311284	0.384000	0.365874	
534	0.271536	250	0.408000	77	0.064935	139	0.906475	1.156505	784	0.315051	0.378000	0.366286	
474	0.246835	198	0.393939	120	0.100000	208	0.980769	1.156505	672	0.290179	0.411000	0.366002	
540	0.238889	244	0.319672	78	0.012821	138	1.000000	1.156505	784	0.264031	0.346000	0.366246	
403	0.272953	134	0.276119	77	0.038961	386	0.989637	1.156505	537	0.273743	0.532000	0.367895	
565	0.260177	199	0.386935	95	0.021053	141	0.971631	1.156505	764	0.293194	0.363000	0.367986	
481	0.199584	224	0.303571	120	0.058333	175	0.948571	1.156505	705	0.232624	0.337000	0.367644	
534	0.245318	197	0.390863	110	0.009091	159	0.924528	1.156505	731	0.284542	0.356000	0.367986	
537	0.264432	205	0.370732	99	0.050505	159	0.987421	1.156505	742	0.293801	0.380000	0.368374	
528	0.270833	199	0.341709	98	0.020408	175	0.908571	1.156505	727	0.290234	0.372000	0.368525	
504	0.190476	234	0.329060	98	0.020408	164	0.945122	1.156505	738	0.234417	0.330000	0.368411	
535	0.246729	208	0.394231	96	0.020833	161	0.962733	1.156505	743	0.288022	0.371000	0.368581	
547	0.246801	204	0.318627	102	0.029412	147	0.979592	1.156505	751	0.266312	0.347000	0.368443	
482	0.209544	209	0.387560	92	0.021739	217	0.926267	1.156505	691	0.263386	0.385000	0.368802	
417	0.232614	217	0.377880	95	0.010526	271	0.985240	1.156505	634	0.282334	0.447000	0.369122	
523	0.235182	199	0.351759	98	0.020408	180	1.000000	1.156505	722	0.267313	0.375000	0.369568	
438	0.212329	197	0.314721	94	0.010638	271	0.926199	1.156505	635	0.244094	0.407000	0.370285	
564	0.276596	227	0.396476	89	0.000000	120	1.000000	1.156505	791	0.310999	0.366000	0.370267	
578	0.226644	228	0.434211	77	0.064935	117	0.974359	1.156505	806	0.285360	0.349000	0.369991	
476	0.252101	196	0.336735	121	0.024793	207	0.927536	1.156505	672	0.276786	0.381000	0.370127	
500	0.238000	205	0.243902	114	0.035088	181	0.961326	1.156505	705	0.239716	0.347000	0.370204	
499	0.240481	227	0.343612	102	0.019608	172	0.930233	1.156505	726	0.272727	0.360000	0.369960	
528	0.263258	191	0.382199	90	0.033333	191	0.973822	1.156505	719	0.294854	0.401000	0.370204	
526	0.249049	233	0.360515	96	0.020833	145	0.993103	1.156505	759	0.283267	0.361000	0.370295	
466	0.274678	230	0.339130	102	0.029412	202	0.980198	1.156505	696	0.295977	0.407000	0.370687	
477	0.255765	196	0.362245	124	0.048387	203	0.985222	1.156505	673	0.286776	0.399000	0.370893	
440	0.222727	206	0.286408	104	0.048077	250	0.996000	1.156505	646	0.243034	0.411000	0.371070	
498	0.251004	234	0.354701	112	0.053571	156	0.967949	1.156505	732	0.284153	0.365000	0.370922	
532	0.216165	202	0.376238	80	0.012500	186	0.973118	1.156505	734	0.260218	0.373000	0.371042	
561	0.242424	222	0.387387	82	0.024390	135	0.977778	1.156505	783	0.283525	0.356000	0.370978	
534	0.256554	196	0.377551	97	0.041237	173	0.832370	1.156505	730	0.289041	0.359000	0.370878	
534	0.256554	217	0.364055	89	0.011236	160	0.962500	1.156505	751	0.287617	0.371000	0.371001	
508	0.253937	205	0.414634	121	0.024793	166	0.987952	1.156505	713	0.300140	0.381000	0.371117	
536	0.218284	186	0.413978	90	0.022222	188	1.000000	1.156505	722	0.268698	0.384000	0.371181	
444	0.231982	198	0.373737	116	0.034483	242	1.000000	1.156505	642	0.275701	0.423000	0.371459	
548	0.218978	188	0.420213	84	0.011905	180	0.977778	1.156505	736	0.270380	0.376000	0.371454	
476	0.243697	224	0.406250	90	0.033333	210	0.980952	1.156505	700	0.295714	0.416000	0.371569	
536	0.259328	193	0.352332	91	0.021978	180	0.994444	1.156505	729	0.283951	0.388000	0.371539	
567	0.197531	180	0.283333	102	0.000000	151	0.953642	1.156505	747	0.218206	0.307000	0.371555	
509	0.223969	180	0.333333	107	0.009346	204	0.960784	1.156505	689	0.252540	0.371000	0.371570	
518	0.252896	218	0.334862	77	0.051948	187	0.871658	1.156505	736	0.277174	0.371000	0.371595	
