Steppingstone sampler:
        No Stones:                  1000
        Start It:                   10010001
        It Per Stone:               5000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.997502	3750	-1.726472	-1.726472
1	0.995007	3750	-1.724024	-3.450495
2	0.992517	3750	-1.722650	-5.173145
3	0.990030	3750	-1.712663	-6.885808
4	0.987547	3750	-1.711677	-8.597485
5	0.985067	3750	-1.712489	-10.309974
6	0.982592	3750	-1.711423	-12.021397
7	0.980120	3750	-1.710593	-13.731989
8	0.977652	3750	-1.704356	-15.436345
9	0.975187	3750	-1.700862	-17.137207
10	0.972726	3750	-1.694408	-18.831616
11	0.970269	3750	-1.691967	-20.523582
12	0.967816	3750	-1.689095	-22.212677
13	0.965367	3750	-1.687517	-23.900194
14	0.962921	3750	-1.686762	-25.586956
15	0.960479	3750	-1.682566	-27.269522
16	0.958040	3750	-1.680517	-28.950039
17	0.955606	3750	-1.680124	-30.630163
18	0.953175	3750	-1.674844	-32.305007
19	0.950747	3750	-1.672156	-33.977163
20	0.948324	3750	-1.670951	-35.648114
21	0.945904	3750	-1.667433	-37.315547
22	0.943488	3750	-1.666391	-38.981938
23	0.941076	3750	-1.663010	-40.644948
24	0.938667	3750	-1.657191	-42.302139
25	0.936262	3750	-1.656010	-43.958149
26	0.933861	3750	-1.655389	-45.613538
27	0.931463	3750	-1.652997	-47.266535
28	0.929069	3750	-1.652518	-48.919052
29	0.926679	3750	-1.646905	-50.565957
30	0.924293	3750	-1.646923	-52.212880
31	0.921910	3750	-1.657507	-53.870387
32	0.919531	3750	-1.638810	-55.509197
33	0.917155	3750	-1.637389	-57.146586
34	0.914783	3750	-1.633415	-58.780001
35	0.912415	3750	-1.633025	-60.413025
36	0.910051	3750	-1.628264	-62.041289
37	0.907690	3750	-1.625982	-63.667271
38	0.905333	3750	-1.623122	-65.290393
39	0.902980	3750	-1.621898	-66.912291
40	0.900630	3750	-1.618264	-68.530554
41	0.898284	3750	-1.616203	-70.146757
42	0.895942	3750	-1.612473	-71.759230
43	0.893603	3750	-1.612041	-73.371272
44	0.891268	3750	-1.610764	-74.982035
45	0.888937	3750	-1.609866	-76.591902
46	0.886609	3750	-1.602851	-78.194753
47	0.884285	3750	-1.602393	-79.797146
48	0.881965	3750	-1.603426	-81.400572
49	0.879648	3750	-1.597776	-82.998348
50	0.877335	3750	-1.593374	-84.591722
51	0.875026	3750	-1.591285	-86.183008
52	0.872720	3750	-1.587984	-87.770992
53	0.870418	3750	-1.586159	-89.357151
54	0.868120	3750	-1.584592	-90.941743
55	0.865825	3750	-1.585384	-92.527127
56	0.863534	3750	-1.584770	-94.111897
57	0.861246	3750	-1.579939	-95.691836
58	0.858962	3750	-1.579608	-97.271444
59	0.856682	3750	-1.572876	-98.844320
60	0.854405	3750	-1.574049	-100.418370
61	0.852132	3750	-1.580264	-101.998633
62	0.849863	3750	-1.569008	-103.567641
63	0.847597	3750	-1.563872	-105.131513
64	0.845335	3750	-1.564937	-106.696450
65	0.843077	3750	-1.562219	-108.258669
66	0.840822	3750	-1.565221	-109.823890
67	0.838571	3750	-1.554019	-111.377909
68	0.836323	3750	-1.561695	-112.939605
69	0.834079	3750	-1.566328	-114.505933
70	0.831839	3750	-1.572840	-116.078773
71	0.829602	3750	-1.548007	-117.626780
72	0.827369	3750	-1.537437	-119.164218
73	0.825140	3750	-1.536682	-120.700899
74	0.822914	3750	-1.537681	-122.238580
75	0.820691	3750	-1.534310	-123.772890
76	0.818473	3750	-1.534595	-125.307485
77	0.816258	3750	-1.529280	-126.836764
78	0.814046	3750	-1.535992	-128.372756
79	0.811838	3750	-1.534875	-129.907631
80	0.809634	3750	-1.520633	-131.428264
81	0.807433	3750	-1.516620	-132.944883
82	0.805236	3750	-1.514815	-134.459698
83	0.803043	3750	-1.512625	-135.972323
84	0.800853	3750	-1.512213	-137.484536
85	0.798667	3750	-1.507792	-138.992328
86	0.796484	3750	-1.508550	-140.500878
87	0.794305	3750	-1.501756	-142.002634
88	0.792129	3750	-1.499620	-143.502254
89	0.789957	3750	-1.506590	-145.008844
90	0.787789	3750	-1.496736	-146.505579
91	0.785624	3750	-1.492800	-147.998379
92	0.783463	3750	-1.489179	-149.487558
93	0.781305	3750	-1.488491	-150.976049
94	0.779151	3750	-1.487729	-152.463778
95	0.777000	3750	-1.489377	-153.953155
96	0.774853	3750	-1.479974	-155.433129
97	0.772710	3750	-1.486478	-156.919606
98	0.770570	3750	-1.486557	-158.406163
99	0.768433	3750	-1.485680	-159.891842
100	0.766301	3750	-1.473126	-161.364968
101	0.764172	3750	-1.475218	-162.840186
102	0.762046	3750	-1.473146	-164.313332
103	0.759924	3750	-1.472012	-165.785344
104	0.757805	3750	-1.476400	-167.261744
105	0.755690	3750	-1.470897	-168.732641
106	0.753579	3750	-1.456396	-170.189037
107	0.751471	3750	-1.455099	-171.644136
108	0.749366	3750	-1.462172	-173.106308
109	0.747266	3750	-1.455663	-174.561971
110	0.745168	3750	-1.447397	-176.009368
