Options:
Model:                           MultiState
Tree File Name:                  _tree_caudata_bt.nex
Data File Name:                  _dat_caudata.txt
Log File Name:                   caudata_rjhp_cov_r3.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2822677083
Precision:                       64 bits
Cores:                           10
Analysis Type:                   MCMC
Sample Period:                   2500
Iterations:                      30010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Zero Rates:                      Yes
Schedule File:                   caudata_rjhp_cov_r3.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     20
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               A,D,P,S,V
Using a covarion model:          True
Normalise Q Matrix:              False
Scale Tree:                      0.001000
Restrictions:
    qAD                          RJ MCMC
    qAP                          RJ MCMC
    qAS                          RJ MCMC
    qAV                          RJ MCMC
    qDA                          RJ MCMC
    qDP                          RJ MCMC
    qDS                          RJ MCMC
    qDV                          RJ MCMC
    qPA                          RJ MCMC
    qPD                          RJ MCMC
    qPS                          RJ MCMC
    qPV                          RJ MCMC
    qSA                          RJ MCMC
    qSD                          RJ MCMC
    qSP                          RJ MCMC
    qSV                          RJ MCMC
    qVA                          RJ MCMC
    qVD                          RJ MCMC
    qVP                          RJ MCMC
    qVS                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - Hyper Prior exp (0.00,100.00) 
        CVSwichRate - uniform 0.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       546
     Sites:                      1
     States:                     10
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	qAD	qAP	qAS	qAV	qDA	qDP	qDS	qDV	qPA	qPD	qPS	qPV	qSA	qSD	qSP	qSV	qVA	qVD	qVP	qVS	Covar On to Off	 Covar Off to On	Root P(A)	Root P(D)	Root P(P)	Root P(S)	Root P(V)	RJRates - Mean	
12500	-114.429836	1	2	6	'Z 1 0 0 1 Z 1 Z 0 Z Z 0 1 0 0 0 1 1 Z 1 	0.000000	9.630037	3.650923	3.650923	9.630037	0.000000	9.630037	0.000000	3.650923	0.000000	0.000000	3.650923	9.630037	3.650923	3.650923	3.650923	9.630037	9.630037	0.000000	9.630037	4.820646	4.820646	0.568426	0.108842	0.120197	0.105325	0.097211	6.815418	
15000	-111.767518	1	2	5	'Z 1 0 0 0 Z 0 Z 0 0 Z 0 1 0 0 0 0 0 0 Z 	0.000000	6.335705	0.986417	0.986417	0.986417	0.000000	0.986417	0.000000	0.986417	0.986417	0.000000	0.986417	6.335705	0.986417	0.986417	0.986417	0.986417	0.986417	0.986417	0.000000	10.968160	10.968160	0.956866	0.000395	0.016329	0.025779	0.000631	4.735658	
17500	-113.899226	1	1	9	'Z 0 0 Z 0 Z 0 Z 0 Z Z 0 0 Z Z Z 0 0 0 0 	0.000000	8.483759	8.483759	0.000000	8.483759	0.000000	8.483759	0.000000	8.483759	0.000000	0.000000	8.483759	8.483759	0.000000	0.000000	0.000000	8.483759	8.483759	8.483759	8.483759	2.906260	2.906260	0.244261	0.028560	0.605709	0.018923	0.102548	17.405616	
20000	-118.182100	1	1	9	'Z 0 0 0 0 Z 0 Z Z Z Z 0 0 Z Z Z 0 0 0 0 	0.000000	10.400547	10.400547	10.400547	10.400547	0.000000	10.400547	0.000000	0.000000	0.000000	0.000000	10.400547	10.400547	0.000000	0.000000	0.000000	10.400547	10.400547	10.400547	10.400547	6.876713	6.876713	0.894662	0.028447	0.015400	0.025207	0.036283	22.353968	
22500	-115.168822	1	2	8	'0 1 1 0 0 Z 0 Z 1 1 0 Z 0 Z Z Z 0 Z Z 0 	0.335547	11.432941	11.432941	0.335547	0.335547	0.000000	0.335547	0.000000	11.432941	11.432941	0.335547	0.000000	0.335547	0.000000	0.000000	0.000000	0.335547	0.000000	0.000000	0.335547	10.619467	10.619467	0.617422	0.000009	0.382550	0.000009	0.000009	30.018825	
25000	-110.328089	1	2	8	'Z 0 0 1 Z Z 1 Z 1 Z 1 Z 0 0 Z Z 1 0 1 1 	0.000000	7.675419	7.675419	1.390594	0.000000	0.000000	1.390594	0.000000	1.390594	0.000000	1.390594	0.000000	7.675419	7.675419	0.000000	0.000000	1.390594	7.675419	1.390594	1.390594	14.634201	14.634201	0.967304	0.000005	0.020256	0.011707	0.000729	35.417648	
27500	-118.342455	1	1	12	'Z 0 0 Z 0 Z Z Z 0 Z Z 0 Z Z Z Z Z 0 0 0 	0.000000	8.529057	8.529057	0.000000	8.529057	0.000000	0.000000	0.000000	8.529057	0.000000	0.000000	8.529057	0.000000	0.000000	0.000000	0.000000	0.000000	8.529057	8.529057	8.529057	4.115407	4.115407	0.370274	0.048910	0.549140	0.000000	0.031675	63.606315	
30000	-115.664600	1	1	11	'Z 0 0 Z Z Z 0 Z Z Z Z 0 0 0 Z Z Z 0 0 0 	0.000000	9.334016	9.334016	0.000000	0.000000	0.000000	9.334016	0.000000	0.000000	0.000000	0.000000	9.334016	9.334016	9.334016	0.000000	0.000000	0.000000	9.334016	9.334016	9.334016	11.121442	11.121442	0.980520	0.000465	0.000215	0.017529	0.001272	53.904922	
32500	-113.285689	1	1	10	'Z 0 0 Z 0 Z 0 Z 0 Z Z 0 0 0 Z Z Z 0 0 Z 	0.000000	7.047309	7.047309	0.000000	7.047309	0.000000	7.047309	0.000000	7.047309	0.000000	0.000000	7.047309	7.047309	7.047309	0.000000	0.000000	0.000000	7.047309	7.047309	0.000000	4.929441	4.929441	0.484502	0.027027	0.433951	0.025163	0.029357	23.307821	
35000	-115.929321	1	1	10	'Z 0 0 Z 0 Z 0 Z 0 Z 0 0 0 0 0 Z Z Z Z Z 	0.000000	10.037559	10.037559	0.000000	10.037559	0.000000	10.037559	0.000000	10.037559	0.000000	10.037559	10.037559	10.037559	10.037559	10.037559	0.000000	0.000000	0.000000	0.000000	0.000000	4.806714	4.806714	0.524378	0.101093	0.247272	0.127257	0.000000	12.538061	
