Default schedule
Rate	55.56
CV	22.22
Rev Jump	11.11
Prior Change	11.11
Rate Tried	% Accepted	CV Tried	% Accepted	Rev Jump Tried	% Accepted	Prior Change Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
283	0.180212	126	0.365079	40	0.100000	51	0.941176	3.343272	409	0.237164	0.298000	0.328774	
550	0.154545	240	0.375000	73	0.205479	137	0.956204	3.343272	790	0.221519	0.321000	0.323978	
281	0.352313	110	0.381818	36	0.222222	73	0.958904	3.343272	391	0.360614	0.438000	0.328210	
566	0.265018	203	0.384236	75	0.026667	156	0.980769	3.343272	769	0.296489	0.383000	0.334433	
283	0.159011	101	0.504950	42	0.214286	74	0.959459	3.343272	384	0.250000	0.352000	0.333896	
563	0.149201	232	0.448276	87	0.160920	118	0.974576	3.343272	795	0.236478	0.317000	0.334227	
282	0.251773	109	0.394495	34	0.264706	75	1.000000	3.343272	391	0.291560	0.396000	0.334970	
596	0.291946	229	0.331878	68	0.088235	107	0.990654	3.343272	825	0.303030	0.362000	0.338222	
302	0.245033	107	0.392523	26	0.115385	65	0.984615	3.343272	409	0.283619	0.366000	0.342666	
552	0.297101	237	0.417722	87	0.126437	124	0.991935	3.343272	789	0.333333	0.397000	0.346104	
259	0.200772	123	0.292683	62	0.274194	56	1.000000	3.343272	382	0.230366	0.322000	0.348684	
558	0.161290	234	0.487179	97	0.113402	111	0.972973	3.343272	792	0.257576	0.323000	0.347166	
257	0.256809	140	0.364286	42	0.261905	61	0.967213	3.343272	397	0.294710	0.374000	0.347427	
545	0.245872	239	0.347280	75	0.146667	141	0.957447	3.343272	784	0.276786	0.363000	0.347659	
283	0.212014	102	0.421569	44	0.136364	71	0.985915	3.343272	385	0.267532	0.358000	0.346372	
562	0.202847	222	0.423423	110	0.100000	106	0.971698	3.343272	784	0.265306	0.322000	0.345493	
268	0.238806	116	0.491379	55	0.127273	61	0.983607	3.343272	384	0.315104	0.376000	0.345632	
529	0.198488	269	0.431227	82	0.109756	120	1.000000	3.343272	798	0.276942	0.350000	0.345721	
275	0.341818	105	0.266667	43	0.046512	77	0.987013	3.343272	380	0.321053	0.400000	0.346950	
572	0.295455	215	0.376744	89	0.056180	124	1.000000	3.343272	787	0.317662	0.379000	0.348978	
299	0.327759	114	0.394737	26	0.230769	61	0.983607	3.343272	413	0.346247	0.418000	0.350266	
