"","transition","mean","median","perc_non_zero","ESS","HPD"
"1","qAP",6.86244689325,6.3667735,100,2748.33404296975,"2.316,12.544"
"2","qAS",6.7720056245,6.3055,99.75,2693.49832304004,"2.282,12.85"
"3","qDS",5.2809334435,5.272676,89.825,2345.0878822572,"0,10.821"
"4","qSA",6.4155047875,6.0025275,88.95,2450.80666785136,"0,12.556"
"5","qDA",4.74814149175,5.004784,80.125,2069.36996694229,"0,10.631"
"6","qSD",4.89992267775,5.1529965,72.95,2283.21954116602,"0,11.501"
"7","qSV",3.84127003325,3.9585545,64.65,1955.24965207878,"0,10.213"
"8","qVA",2.79996641025,0,45.375,3324.53652426959,"0,9.972"
"9","qPA",2.31751440275,0,44.675,3041.54657660229,"0,8.482"
"10","qVP",2.52067984725,0,43.2,3282.48319287607,"0,9.444"
"11","qVS",2.58413057825,0,43.2,2567.03331662989,"0,9.421"
"12","qVD",2.214519555,0,37.85,3527.58097931116,"0,9.315"
"13","qDP",1.907958129,0,36.075,2928.22442573041,"0,7.958"
"14","qSP",1.728287441,0,35.225,3922.9132656752,"0,8.111"
"15","qPD",1.58125941175,0,35.05,2307.05410129453,"0,7.09"
"16","qPV",1.58981180075,0,33.45,1817.46563209235,"0,7.603"
"17","qDV",1.3326508175,0,25.05,2955.71020040031,"0,7.715"
"18","qPS",0.75238055075,0,19.625,3347.3499043676,"0,5.555"
"19","qAV",0.42419843375,0,18.9,2247.82871760884,"0,3.426"
"20","qAD",0.2700906265,0,12.525,3029.39740537788,"0,1.546"
