Steppingstone sampler:
        No Stones:                  1000
        Start It:                   100050001
        It Per Stone:               5000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.997502	3750	-0.083452	-0.083452
1	0.995007	3750	-0.080922	-0.164373
2	0.992517	3750	-0.084781	-0.249154
3	0.990030	3750	-0.082881	-0.332035
4	0.987547	3750	-0.082790	-0.414825
5	0.985067	3750	-0.083292	-0.498117
6	0.982592	3750	-0.081250	-0.579367
7	0.980120	3750	-0.079761	-0.659128
8	0.977652	3750	-0.082776	-0.741904
9	0.975187	3750	-0.082507	-0.824411
10	0.972726	3750	-0.081755	-0.906166
11	0.970269	3750	-0.084291	-0.990457
12	0.967816	3750	-0.081320	-1.071777
13	0.965367	3750	-0.083117	-1.154893
14	0.962921	3750	-0.082796	-1.237689
15	0.960479	3750	-0.081434	-1.319124
16	0.958040	3750	-0.083048	-1.402172
17	0.955606	3750	-0.082253	-1.484425
18	0.953175	3750	-0.081809	-1.566234
19	0.950747	3750	-0.081869	-1.648103
20	0.948324	3750	-0.080396	-1.728500
21	0.945904	3750	-0.081568	-1.810067
22	0.943488	3750	-0.081323	-1.891391
23	0.941076	3750	-0.080799	-1.972190
24	0.938667	3750	-0.081558	-2.053748
25	0.936262	3750	-0.080223	-2.133970
26	0.933861	3750	-0.079119	-2.213090
27	0.931463	3750	-0.082341	-2.295431
28	0.929069	3750	-0.080494	-2.375924
29	0.926679	3750	-0.079809	-2.455733
30	0.924293	3750	-0.080235	-2.535968
31	0.921910	3750	-0.079711	-2.615679
32	0.919531	3750	-0.078133	-2.693812
33	0.917155	3750	-0.077959	-2.771771
34	0.914783	3750	-0.079259	-2.851030
35	0.912415	3750	-0.081290	-2.932320
36	0.910051	3750	-0.078295	-3.010615
37	0.907690	3750	-0.078270	-3.088885
38	0.905333	3750	-0.076895	-3.165780
39	0.902980	3750	-0.080776	-3.246556
40	0.900630	3750	-0.076728	-3.323284
41	0.898284	3750	-0.077227	-3.400511
42	0.895942	3750	-0.076079	-3.476591
43	0.893603	3750	-0.076626	-3.553217
44	0.891268	3750	-0.077294	-3.630511
45	0.888937	3750	-0.077946	-3.708458
46	0.886609	3750	-0.077150	-3.785608
47	0.884285	3750	-0.078303	-3.863911
48	0.881965	3750	-0.079086	-3.942996
49	0.879648	3750	-0.077090	-4.020086
50	0.877335	3750	-0.078631	-4.098718
51	0.875026	3750	-0.077324	-4.176042
52	0.872720	3750	-0.076423	-4.252465
53	0.870418	3750	-0.076116	-4.328581
54	0.868120	3750	-0.075270	-4.403851
55	0.865825	3750	-0.076288	-4.480139
56	0.863534	3750	-0.077419	-4.557557
57	0.861246	3750	-0.074626	-4.632184
58	0.858962	3750	-0.077233	-4.709416
59	0.856682	3750	-0.076870	-4.786286
60	0.854405	3750	-0.076264	-4.862550
61	0.852132	3750	-0.076392	-4.938942
62	0.849863	3750	-0.076776	-5.015718
63	0.847597	3750	-0.076203	-5.091920
64	0.845335	3750	-0.076957	-5.168877
65	0.843077	3750	-0.076362	-5.245239
66	0.840822	3750	-0.078202	-5.323441
67	0.838571	3750	-0.075904	-5.399344
68	0.836323	3750	-0.074329	-5.473673
69	0.834079	3750	-0.076056	-5.549729
70	0.831839	3750	-0.076982	-5.626711
71	0.829602	3750	-0.074491	-5.701202
72	0.827369	3750	-0.075255	-5.776456
73	0.825140	3750	-0.075512	-5.851969
74	0.822914	3750	-0.075213	-5.927181
75	0.820691	3750	-0.075504	-6.002686
76	0.818473	3750	-0.074349	-6.077035
77	0.816258	3750	-0.074091	-6.151126
78	0.814046	3750	-0.075766	-6.226892
79	0.811838	3750	-0.075861	-6.302753
80	0.809634	3750	-0.074130	-6.376884
81	0.807433	3750	-0.073493	-6.450377
82	0.805236	3750	-0.075246	-6.525623
83	0.803043	3750	-0.073756	-6.599379
84	0.800853	3750	-0.073372	-6.672751
85	0.798667	3750	-0.074400	-6.747151
86	0.796484	3750	-0.073153	-6.820304
