Default schedule
Rate	55.56
CV	22.22
Rev Jump	11.11
Prior Change	11.11
Rate Tried	% Accepted	CV Tried	% Accepted	Rev Jump Tried	% Accepted	Prior Change Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
554	0.272563	230	0.443478	95	0.042105	121	1.000000	5.000000	784	0.322704	0.378000	0.396520	
533	0.300188	231	0.506494	109	0.073394	127	1.000000	5.000000	764	0.362565	0.412000	0.397493	
562	0.263345	236	0.525424	95	0.136842	107	1.000000	5.000000	798	0.340852	0.392000	0.397025	
577	0.279029	238	0.424370	86	0.116279	99	1.000000	5.000000	815	0.321472	0.371000	0.394223	
570	0.256140	224	0.415179	101	0.079208	105	0.942857	5.000000	794	0.301008	0.346000	0.391808	
595	0.282353	208	0.528846	93	0.129032	104	0.990385	5.000000	803	0.346202	0.393000	0.390458	
548	0.266423	230	0.508696	114	0.078947	108	0.953704	5.000000	778	0.338046	0.375000	0.389572	
568	0.288732	195	0.517949	96	0.020833	141	0.985816	5.000000	763	0.347313	0.406000	0.389562	
561	0.263815	205	0.521951	115	0.043478	119	0.991597	5.000000	766	0.332898	0.378000	0.389375	
591	0.269036	209	0.435407	102	0.088235	98	0.979592	5.000000	800	0.312500	0.355000	0.388246	
532	0.281955	217	0.345622	128	0.093750	123	0.991870	5.000000	749	0.300401	0.359000	0.386873	
536	0.264925	237	0.556962	104	0.096154	123	0.943089	5.000000	773	0.354463	0.400000	0.386978	
560	0.310714	232	0.362069	90	0.077778	118	0.966102	5.000000	792	0.325758	0.379000	0.385988	
548	0.286496	237	0.375527	104	0.028846	111	0.972973	5.000000	785	0.313376	0.357000	0.385022	
522	0.256705	216	0.333333	118	0.093220	144	0.868056	5.000000	738	0.279133	0.342000	0.383429	
564	0.251773	225	0.440000	110	0.081818	101	0.960396	5.000000	789	0.305450	0.347000	0.381736	
541	0.232902	232	0.448276	110	0.063636	117	0.931624	5.000000	773	0.297542	0.346000	0.380864	
559	0.218247	228	0.570175	102	0.088235	111	0.963964	5.000000	787	0.320203	0.368000	0.380454	
560	0.301786	200	0.495000	125	0.112000	115	1.000000	5.000000	760	0.352632	0.397000	0.380259	
535	0.295327	248	0.407258	117	0.145299	100	1.000000	5.000000	783	0.330779	0.376000	0.380357	
563	0.305506	223	0.412556	107	0.074766	107	0.971963	5.000000	786	0.335878	0.376000	0.380004	
560	0.251786	214	0.299065	106	0.075472	120	0.991667	5.000000	774	0.264858	0.332000	0.379110	
546	0.331502	245	0.448980	100	0.040000	109	1.000000	5.000000	791	0.367889	0.404000	0.378773	
564	0.257092	219	0.369863	104	0.096154	113	0.973451	5.000000	783	0.288633	0.346000	0.378104	
539	0.276438	234	0.286325	102	0.137255	125	0.992000	5.000000	773	0.279431	0.354000	0.377209	
545	0.313761	230	0.400000	100	0.070000	125	0.928000	5.000000	775	0.339355	0.386000	0.377165	
556	0.228417	217	0.405530	110	0.072727	117	0.982906	5.000000	773	0.278137	0.338000	0.376652	
539	0.261596	212	0.556604	113	0.106195	136	0.992647	5.000000	751	0.344874	0.406000	0.376409	
551	0.297641	225	0.311111	105	0.057143	119	0.991597	5.000000	776	0.301546	0.358000	0.376762	
549	0.315118	203	0.581281	117	0.111111	131	1.000000	5.000000	752	0.386968	0.435000	0.377328	
537	0.307263	229	0.558952	109	0.036697	125	0.992000	5.000000	766	0.382507	0.421000	0.378423	
592	0.331081	219	0.406393	95	0.094737	94	1.000000	5.000000	811	0.351418	0.388000	0.378560	
562	0.411032	200	0.490000	109	0.018349	129	1.000000	5.000000	762	0.431759	0.460000	0.379347	
554	0.252708	225	0.453333	96	0.020833	125	1.000000	5.000000	779	0.310655	0.369000	0.379498	
568	0.315141	203	0.482759	111	0.099099	118	1.000000	5.000000	771	0.359274	0.406000	0.379652	
562	0.245552	215	0.432558	98	0.102041	125	1.000000	5.000000	777	0.297297	0.366000	0.379920	
559	0.291592	219	0.474886	104	0.048077	118	0.966102	5.000000	778	0.343188	0.386000	0.379535	
564	0.292553	229	0.410480	95	0.052632	112	0.991071	5.000000	793	0.326608	0.375000	0.378898	
569	0.319859	207	0.420290	112	0.116071	112	0.982143	5.000000	776	0.346649	0.392000	0.378672	
553	0.294756	230	0.369565	109	0.055046	108	0.981481	5.000000	783	0.316731	0.360000	0.378142	
580	0.294828	192	0.473958	100	0.110000	128	0.984375	5.000000	772	0.339378	0.399000	0.378222	
570	0.326316	216	0.444444	110	0.063636	104	1.000000	5.000000	786	0.358779	0.393000	0.378779	
