species_asw,family,order,rep_mode1
Ansonia_thinthinae,Bufonidae,Anura,A
Ansonia_kraensis,Bufonidae,Anura,A
Ansonia_inthanon,Bufonidae,Anura,A
Ansonia_siamensis,Bufonidae,Anura,A
Ansonia_endauensis,Bufonidae,Anura,A
Ansonia_latirostra,Bufonidae,Anura,A
Ansonia_tiomanica,Bufonidae,Anura,A
Ansonia_malayana,Bufonidae,Anura,A
Ansonia_penangensis,Bufonidae,Anura,A
Ansonia_hanitschi,Bufonidae,Anura,A
Ansonia_platysoma,Bufonidae,Anura,A
Ansonia_minuta,Bufonidae,Anura,A
Ansonia_spinulifer,Bufonidae,Anura,A
Ansonia_latidisca,Bufonidae,Anura,A
Ansonia_leptopus,Bufonidae,Anura,A
Ansonia_torrentis,Bufonidae,Anura,A
Ansonia_longidigita,Bufonidae,Anura,A
Ansonia_albomaculata,Bufonidae,Anura,A
Ansonia_fuliginea,Bufonidae,Anura,A
Ansonia_guibei,Bufonidae,Anura,A
Ansonia_mcgregori,Bufonidae,Anura,A
Ansonia_muelleri,Bufonidae,Anura,A
Pelophryne_signata,Bufonidae,Anura,A
Pelophryne_brevipes,Bufonidae,Anura,A
Pelophryne_misera,Bufonidae,Anura,A
Ghatophryne_ornata,Bufonidae,Anura,A
Barbarophryne_brongersmai,Bufonidae,Anura,A
Ingerophrynus_parvus,Bufonidae,Anura,A
Ingerophrynus_biporcatus,Bufonidae,Anura,A
Ingerophrynus_divergens,Bufonidae,Anura,A
Ingerophrynus_philippinicus,Bufonidae,Anura,A
Ingerophrynus_galeatus,Bufonidae,Anura,A
Ingerophrynus_macrotis,Bufonidae,Anura,A
Ingerophrynus_celebensis,Bufonidae,Anura,A
Phrynoidis_juxtasper,Bufonidae,Anura,A
Phrynoidis_asper,Bufonidae,Anura,A
Rentapia_everetti,Bufonidae,Anura,A
Rentapia_hosii,Bufonidae,Anura,A
Bufo_bankorensis,Bufonidae,Anura,A
Bufo_gargarizans,Bufonidae,Anura,A
Bufo_tuberculatus,Bufonidae,Anura,A
Bufo_stejnegeri,Bufonidae,Anura,A
Bufo_torrenticola,Bufonidae,Anura,A
Bufo_japonicus,Bufonidae,Anura,A
Bufo_cryptotympanicus,Bufonidae,Anura,A
Bufo_aspinius,Bufonidae,Anura,A
Bufo_tuberospinius,Bufonidae,Anura,A
Bufo_bufo,Bufonidae,Anura,A
Bufo_spinosus,Bufonidae,Anura,A
Bufo_verrucosissimus,Bufonidae,Anura,A
Bufo_eichwaldi,Bufonidae,Anura,A
Strauchbufo_raddei,Bufonidae,Anura,A
Sabahphrynus_maculatus,Bufonidae,Anura,A
Werneria_mertensiana,Bufonidae,Anura,A
Werneria_tandyi,Bufonidae,Anura,A
Werneria_bambutensis,Bufonidae,Anura,A
Wolterstorffina_parvipalmata,Bufonidae,Anura,A
Didynamipus_sjostedti,Bufonidae,Anura,D
Nimbaphrynoides_occidentalis,Bufonidae,Anura,V
Nectophryne_batesii,Bufonidae,Anura,A
Nectophryne_afra,Bufonidae,Anura,A
Leptophryne_borbonica,Bufonidae,Anura,A
Epidalea_calamita,Bufonidae,Anura,A
Duttaphrynus_melanostictus,Bufonidae,Anura,A
Duttaphrynus_parietalis,Bufonidae,Anura,A
Duttaphrynus_brevirostris,Bufonidae,Anura,A
Duttaphrynus_atukoralei,Bufonidae,Anura,A
