"","models","loglik","AIC","AICc","AcW","Aw"
"HMM_terrestrial_v1_ard","HMM_terrestrial_v1_ard",-667.664233685431,1361.32846737086,1361.43546325564,0.732166420603343,0.732043288655259
"HMM_terrestrial_v2_ard","HMM_terrestrial_v2_ard",-668.673563690322,1363.34712738064,1363.45412326542,0.26684763331824,0.266802756268423
"HMM_ard","HMM_ard",-660.185140506681,1374.37028101336,1374.8165620051,0.000909789944752224,0.00107781175018824
"HMM_terrestrial_v3_ard","HMM_terrestrial_v3_ard",-676.835798648983,1379.67159729797,1379.77859318274,7.61114074256322e-05,7.60986074042108e-05
"HMM_radial_ard","HMM_radial_ard",-684.275198975692,1394.55039795138,1394.65739383616,4.47259158423446e-08,4.47183940699817e-08
"HMM_sym","HMM_sym",-688.729428573257,1419.45885714651,1419.73110228499,1.60647004605736e-13,1.7445483410949e-13
"HMM_terrestrial_v1_sym","HMM_terrestrial_v1_sym",-700.843080695088,1419.68616139018,1419.73900930562,1.60013138839491e-13,1.55712873364719e-13
"HMM_terrestrial_v2_sym","HMM_terrestrial_v2_sym",-705.199695074984,1428.39939014997,1428.45223806541,2.05164426001255e-15,1.9965074441121e-15
"HMM_terrestrial_v3_sym","HMM_terrestrial_v3_sym",-712.203801994356,1442.40760398871,1442.46045190415,1.86318969603934e-18,1.81311749333812e-18
"ard","ard",-714.652870578312,1455.30574115662,1455.4127370414,2.86882523354593e-21,2.86834276940966e-21
"sym","sym",-719.684116817567,1459.36823363513,1459.43284450151,3.84369438153314e-22,3.76246107486437e-22
"HMM_terrestrial_v3_er","HMM_terrestrial_v3_er",-728.355296274358,1462.71059254872,1462.71762654637,7.43819381956254e-23,7.07437372851441e-23
"HMM_terrestrial_v2_er","HMM_terrestrial_v2_er",-728.790189166112,1463.58037833222,1463.58741232988,4.81499574441597e-23,4.57948263026149e-23
"terrestrial_v1_ard","terrestrial_v1_ard",-729.936335010144,1471.87267002029,1471.89731067737,7.55308563897631e-25,7.24716509396422e-25
"terrestrial_v1_sym","terrestrial_v1_sym",-735.068703812261,1478.13740762452,1478.14913439087,3.31556952044165e-26,3.16080474638113e-26
"terrestrial_v2_ard","terrestrial_v2_ard",-733.921055089988,1479.84211017998,1479.86675083706,1.4046963898815e-26,1.34780235932113e-26
"HMM_radial_sym","HMM_radial_sym",-734.232038588133,1486.46407717627,1486.51692509171,5.05260648352055e-28,4.91682045134673e-28
"terrestrial_v2_sym","terrestrial_v2_sym",-739.280296948628,1486.56059389726,1486.5723206636,4.91458079758005e-28,4.68517707612277e-28
"HMM_serial_ard","HMM_serial_ard",-734.60185330632,1491.20370661264,1491.28126242933,4.6660863034734e-29,4.59713115360073e-29
"terrestrial_v3_ard","terrestrial_v3_ard",-741.879986403037,1495.75997280607,1495.78461346316,4.90978545704883e-30,4.71092577046433e-30
"terrestrial_v3_sym","terrestrial_v3_sym",-747.507759749092,1503.01551949818,1503.02724626453,1.31324206432563e-31,1.25194230568113e-31
"HMM_terrestrial_v1_er","HMM_terrestrial_v1_er",-756.173696008305,1518.34739201661,1518.35442601426,6.16722780799225e-35,5.86557374558839e-35
"terrestrial_v2_er","terrestrial_v2_er",-771.554974767271,1545.10994953454,1545.1111211807,9.54877056839109e-41,9.05513591945317e-41
"HMM_serial_sym","HMM_serial_sym",-766.811682988768,1551.62336597754,1551.67621389298,3.58389840097431e-42,3.48758309417779e-42
"terrestrial_v3_er","terrestrial_v3_er",-777.248810902502,1556.497621805,1556.49879345117,3.21473992659587e-43,3.04855025812222e-43
"terrestrial_v1_er","terrestrial_v1_er",-786.499991524093,1574.99998304819,1575.00115469435,3.08609399207927e-47,2.92655482277382e-47
"HMM_er","HMM_er",-785.048600975254,1576.09720195051,1576.10423594816,1.77778033643333e-47,1.69082479056362e-47
"HMM_serial_er","HMM_serial_er",-793.773808373794,1593.54761674759,1593.55465074524,2.8878103701882e-51,2.74656056448289e-51
"er","er",-814.30314926308,1630.60629852616,1630.60747017232,2.59807188699721e-59,2.46376158027576e-59
"HMM_radial_er","HMM_radial_er",-813.796605561989,1633.59321112398,1633.60024512163,5.81806194027759e-60,5.53348642689577e-60
"radial_sym","radial_sym",-813.101993856311,1634.20398771262,1634.21571447897,4.27691744795118e-60,4.0772786955659e-60
"radial_ard","radial_ard",-812.917127648419,1637.83425529684,1637.85889595392,6.91869302923262e-61,6.63846711317098e-61
"serial_ard","serial_ard",-834.603763217307,1679.20752643461,1679.22512174253,7.20215168002965e-70,6.88614449409742e-70
"serial_sym","serial_sym",-838.276417782223,1684.55283556445,1684.56456233079,4.98904557876959e-71,4.75616597633163e-71
"serial_er","serial_er",-864.859813572387,1731.71962714477,1731.72079879094,2.87191003132983e-81,2.7234433475884e-81
"radial_er","radial_er",-885.516663034509,1773.03332606902,1773.03449771518,3.06912866666804e-90,2.91046653932244e-90
