species_asw,family,order,rep_mode1
Bolitoglossa_altamazonica,Plethodontidae,Caudata,D
Bolitoglossa_peruviana,Plethodontidae,Caudata,D
Bolitoglossa_palmata,Plethodontidae,Caudata,D
Bolitoglossa_equatoriana,Plethodontidae,Caudata,D
Bolitoglossa_paraensis,Plethodontidae,Caudata,D
Bolitoglossa_adspersa,Plethodontidae,Caudata,D
Bolitoglossa_medemi,Plethodontidae,Caudata,D
Bolitoglossa_sima,Plethodontidae,Caudata,D
Bolitoglossa_biseriata,Plethodontidae,Caudata,D
Bolitoglossa_tamaense,Plethodontidae,Caudata,D
Bolitoglossa_orestes,Plethodontidae,Caudata,D
Bolitoglossa_mucuyensis,Plethodontidae,Caudata,D
Bolitoglossa_nicefori,Plethodontidae,Caudata,D
Bolitoglossa_leandrae,Plethodontidae,Caudata,D
Bolitoglossa_compacta,Plethodontidae,Caudata,D
Bolitoglossa_robusta,Plethodontidae,Caudata,D
Bolitoglossa_schizodactyla,Plethodontidae,Caudata,D
Bolitoglossa_colonnea,Plethodontidae,Caudata,D
Bolitoglossa_nigrescens,Plethodontidae,Caudata,D
Bolitoglossa_jugivagans,Plethodontidae,Caudata,D
Bolitoglossa_aureogularis,Plethodontidae,Caudata,D
Bolitoglossa_robinsoni,Plethodontidae,Caudata,D
Bolitoglossa_subpalmata,Plethodontidae,Caudata,D
Bolitoglossa_tica,Plethodontidae,Caudata,D
Bolitoglossa_gracilis,Plethodontidae,Caudata,D
Bolitoglossa_splendida,Plethodontidae,Caudata,D
Bolitoglossa_pesrubra,Plethodontidae,Caudata,D
Bolitoglossa_bramei,Plethodontidae,Caudata,D
Bolitoglossa_kamuk,Plethodontidae,Caudata,D
Bolitoglossa_gomezi,Plethodontidae,Caudata,D
Bolitoglossa_epimela,Plethodontidae,Caudata,D
Bolitoglossa_cerroensis,Plethodontidae,Caudata,D
Bolitoglossa_marmorea,Plethodontidae,Caudata,D
Bolitoglossa_minutula,Plethodontidae,Caudata,D
Bolitoglossa_sooyorum,Plethodontidae,Caudata,D
Bolitoglossa_mombachoensis,Plethodontidae,Caudata,D
Bolitoglossa_striatula,Plethodontidae,Caudata,D
Bolitoglossa_mulleri,Plethodontidae,Caudata,D
Bolitoglossa_yucatana,Plethodontidae,Caudata,D
Bolitoglossa_lignicolor,Plethodontidae,Caudata,D
Bolitoglossa_odonnelli,Plethodontidae,Caudata,D
Bolitoglossa_mexicana,Plethodontidae,Caudata,D
Bolitoglossa_platydactyla,Plethodontidae,Caudata,D
Bolitoglossa_flaviventris,Plethodontidae,Caudata,D
Bolitoglossa_nympha,Plethodontidae,Caudata,D
Bolitoglossa_rufescens,Plethodontidae,Caudata,D
Bolitoglossa_chinanteca,Plethodontidae,Caudata,D
Bolitoglossa_occidentalis,Plethodontidae,Caudata,D
Bolitoglossa_stuarti,Plethodontidae,Caudata,D
Bolitoglossa_xibalba,Plethodontidae,Caudata,D
Bolitoglossa_hartwegi,Plethodontidae,Caudata,D
Bolitoglossa_eremia,Plethodontidae,Caudata,D
Bolitoglossa_suchitanensis,Plethodontidae,Caudata,D
Bolitoglossa_daryorum,Plethodontidae,Caudata,D
Bolitoglossa_kaqchikelorum,Plethodontidae,Caudata,D
Bolitoglossa_morio,Plethodontidae,Caudata,D
Bolitoglossa_flavimembris,Plethodontidae,Caudata,D
Bolitoglossa_dunni,Plethodontidae,Caudata,D
Bolitoglossa_diaphora,Plethodontidae,Caudata,D
Bolitoglossa_conanti,Plethodontidae,Caudata,D
Bolitoglossa_carri,Plethodontidae,Caudata,D
Bolitoglossa_oresbia,Plethodontidae,Caudata,D
Bolitoglossa_meliana,Plethodontidae,Caudata,D
Bolitoglossa_celaque,Plethodontidae,Caudata,D
Bolitoglossa_synoria,Plethodontidae,Caudata,D
