"","models","loglik","AIC","AICc","AcW","Aw"
"serial_er","serial_er",-29.0447046871045,60.0894093742089,60.1549831447007,0.459784924284862,0.420894924963034
"serial_sym","serial_sym",-28.986662643438,61.973325286876,62.173325286876,0.167601267916679,0.164091674382831
"HMM_serial_er","HMM_serial_er",-28.085404065711,62.170808131422,62.577587792439,0.136928172548391,0.148663273561419
"er","er",-30.6901321390155,63.3802642780309,63.4458380485227,0.0887063407701264,0.08120329021283
"sym","sym",-28.9866640386552,63.9733280773104,64.3801077383273,0.0556007409401267,0.0603658692492849
"serial_ard","serial_ard",-28.1716769040633,64.3433538081265,65.0330089805403,0.0401148225764371,0.0501696870738887
"HMM_er","HMM_er",-29.6330048417866,65.2660096835733,65.6727893445902,0.0291325388870272,0.0316292733445358
"HMM_serial_sym","HMM_serial_sym",-28.056707721207,66.1134154424141,67.1660470213614,0.013807706604808,0.0207051028424058
"ard","ard",-28.1716783295328,68.3433566590656,69.8433566590656,0.00362035492662275,0.00678971913149219
"HMM_terrestrial_v2_ard","HMM_terrestrial_v2_ard",-24.9505619028224,67.9011238056449,71.2973502207392,0.00174992912343871,0.00846996183204876
"HMM_sym","HMM_sym",-28.0567091229075,70.1134182458151,72.1497818821787,0.00114266066018186,0.00280212702987452
"HMM_terrestrial_v2_er","HMM_terrestrial_v2_er",-33.6136264347291,73.2272528694582,73.6340325304752,0.000544021849372591,0.000590645938753656
"HMM_serial_ard","HMM_serial_ard",-26.133490804937,70.266981609874,73.6632080249684,0.000536143400261706,0.00259502746476835
"terrestrial_v2_ard","terrestrial_v2_ard",-32.5171335765918,73.0342671531836,73.7239223255974,0.000520112176722236,0.000650479385762037
"terrestrial_v2_er","terrestrial_v2_er",-37.3871743189987,76.7743486379973,76.8399224084891,0.000109513132254477,0.000100250180352059
"HMM_terrestrial_v2_sym","HMM_terrestrial_v2_sym",-33.5659683417778,77.1319366835556,78.1845682625029,5.59087861670893e-05,8.38370339488941e-05
"terrestrial_v2_sym","terrestrial_v2_sym",-37.3128938299221,78.6257876598443,78.8257876598443,4.05733661690215e-05,3.97237543174929e-05
"HMM_ard","HMM_ard",-24.9505628301914,75.9011256603829,83.3296970889543,4.26805035270199e-06,0.000155132618451916
