species_asw,family,order,SSE_larva,SSE_adult
Allophryne_relicta,Allophrynidae,Anura,1,1
Allophryne_resplendens,Allophrynidae,Anura,1,1
Allophryne_ruthveni,Allophrynidae,Anura,1,1
Alsodes_australis,Alsodidae,Anura,1,1
Alsodes_barrioi,Alsodidae,Anura,1,1
Alsodes_cantillanensis,Alsodidae,Anura,1,1
Alsodes_coppingeri,Alsodidae,Anura,1,1
Alsodes_gargola,Alsodidae,Anura,1,1
Alsodes_hugoi,Alsodidae,Anura,1,1
Alsodes_igneus,Alsodidae,Anura,1,1
Alsodes_kaweshkari,Alsodidae,Anura,1,1
Alsodes_montanus,Alsodidae,Anura,1,1
Alsodes_monticola,Alsodidae,Anura,1,1
Alsodes_neuquensis,Alsodidae,Anura,1,1
Alsodes_nodosus,Alsodidae,Anura,1,1
Alsodes_norae,Alsodidae,Anura,1,1
Alsodes_pehuenche,Alsodidae,Anura,1,1
Alsodes_tumultuosus,Alsodidae,Anura,1,1
Alsodes_valdiviensis,Alsodidae,Anura,1,1
Alsodes_vanzolinii,Alsodidae,Anura,1,1
Alsodes_verrucosus,Alsodidae,Anura,1,1
Alsodes_vittatus,Alsodidae,Anura,1,1
Eupsophus_altor,Alsodidae,Anura,1,1
Eupsophus_calcaratus,Alsodidae,Anura,1,1
Eupsophus_contulmoensis,Alsodidae,Anura,1,1
Eupsophus_emiliopugini,Alsodidae,Anura,1,1
Eupsophus_insularis,Alsodidae,Anura,1,1
Eupsophus_migueli,Alsodidae,Anura,1,1
Eupsophus_nahuelbutensis,Alsodidae,Anura,1,1
Eupsophus_roseus,Alsodidae,Anura,1,1
Eupsophus_septentrionalis,Alsodidae,Anura,1,1
Eupsophus_vertebralis,Alsodidae,Anura,1,1
Limnomedusa_macroglossa,Alsodidae,Anura,1,1
Alytes_cisternasii,Alytidae,Anura,1,1
Alytes_dickhilleni,Alytidae,Anura,1,1
Alytes_maurus,Alytidae,Anura,1,1
Alytes_muletensis,Alytidae,Anura,1,1
Alytes_obstetricans,Alytidae,Anura,1,1
Discoglossus_galganoi,Alytidae,Anura,1,1
Discoglossus_jeanneae,Alytidae,Anura,1,1
Discoglossus_montalentii,Alytidae,Anura,1,1
Discoglossus_pictus,Alytidae,Anura,1,1
Discoglossus_sardus,Alytidae,Anura,1,1
Discoglossus_scovazzi,Alytidae,Anura,1,1
Latonia_nigriventer,Alytidae,Anura,1,1
Allobates_alessandroi,Aromobatidae,Anura,1,1
Allobates_algorei,Aromobatidae,Anura,1,1
Allobates_amissibilis,Aromobatidae,Anura,1,1
Allobates_bacurau,Aromobatidae,Anura,1,1
Allobates_bromelicola,Aromobatidae,Anura,1,1
Allobates_brunneus,Aromobatidae,Anura,1,1
Allobates_caeruleodactylus,Aromobatidae,Anura,1,1
Allobates_carajas,Aromobatidae,Anura,1,1
Allobates_caribe,Aromobatidae,Anura,1,1
Allobates_cepedai,Aromobatidae,Anura,1,1
Allobates_chalcopis,Aromobatidae,Anura,1,1
Allobates_conspicuus,Aromobatidae,Anura,1,1
Allobates_crombiei,Aromobatidae,Anura,1,1
Allobates_femoralis,Aromobatidae,Anura,1,1
Allobates_flaviventris,Aromobatidae,Anura,1,1
Allobates_fratisenescus,Aromobatidae,Anura,1,1
Allobates_fuscellus,Aromobatidae,Anura,1,1
Allobates_gasconi,Aromobatidae,Anura,1,1
Allobates_goianus,Aromobatidae,Anura,1,1
Allobates_granti,Aromobatidae,Anura,1,1
Allobates_grillisimilis,Aromobatidae,Anura,1,1
Allobates_hodli,Aromobatidae,Anura,1,1
Allobates_humilis,Aromobatidae,Anura,1,1
