species_asw,family,order,SSE_larva,SSE_adult
Caecilia_abitaguae,Caeciliidae,Gymnophiona,0,1
Caecilia_albiventris,Caeciliidae,Gymnophiona,0,1
Caecilia_antioquiaensis,Caeciliidae,Gymnophiona,0,1
Caecilia_armata,Caeciliidae,Gymnophiona,0,1
Caecilia_attenuata,Caeciliidae,Gymnophiona,0,1
Caecilia_bokermanni,Caeciliidae,Gymnophiona,0,1
Caecilia_caribea,Caeciliidae,Gymnophiona,0,1
Caecilia_corpulenta,Caeciliidae,Gymnophiona,0,1
Caecilia_crassisquama,Caeciliidae,Gymnophiona,0,1
Caecilia_degenerata,Caeciliidae,Gymnophiona,0,1
Caecilia_disossea,Caeciliidae,Gymnophiona,0,1
Caecilia_dunni,Caeciliidae,Gymnophiona,0,1
Caecilia_flavopunctata,Caeciliidae,Gymnophiona,0,1
Caecilia_gracilis,Caeciliidae,Gymnophiona,0,1
Caecilia_guntheri,Caeciliidae,Gymnophiona,0,1
Caecilia_inca,Caeciliidae,Gymnophiona,0,1
Caecilia_isthmica,Caeciliidae,Gymnophiona,0,1
Caecilia_leucocephala,Caeciliidae,Gymnophiona,0,1
Caecilia_marcusi,Caeciliidae,Gymnophiona,0,1
Caecilia_mertensi,Caeciliidae,Gymnophiona,0,1
Caecilia_museugoeldi,Caeciliidae,Gymnophiona,0,1
Caecilia_nigricans,Caeciliidae,Gymnophiona,0,1
Caecilia_occidentalis,Caeciliidae,Gymnophiona,0,1
Caecilia_orientalis,Caeciliidae,Gymnophiona,0,1
Caecilia_pachynema,Caeciliidae,Gymnophiona,0,1
Caecilia_perdita,Caeciliidae,Gymnophiona,0,1
Caecilia_pressula,Caeciliidae,Gymnophiona,0,1
Caecilia_subdermalis,Caeciliidae,Gymnophiona,0,1
Caecilia_subnigricans,Caeciliidae,Gymnophiona,0,1
Caecilia_subterminalis,Caeciliidae,Gymnophiona,0,1
Caecilia_tentaculata,Caeciliidae,Gymnophiona,0,1
Caecilia_tenuissima,Caeciliidae,Gymnophiona,0,1
Caecilia_thompsoni,Caeciliidae,Gymnophiona,0,1
Caecilia_volcani,Caeciliidae,Gymnophiona,0,1
Oscaecilia_bassleri,Caeciliidae,Gymnophiona,0,1
Oscaecilia_elongata,Caeciliidae,Gymnophiona,0,1
Oscaecilia_equatorialis,Caeciliidae,Gymnophiona,0,1
Oscaecilia_hypereumeces,Caeciliidae,Gymnophiona,0,1
Oscaecilia_koepckeorum,Caeciliidae,Gymnophiona,0,1
Oscaecilia_ochrocephala,Caeciliidae,Gymnophiona,0,1
Oscaecilia_osae,Caeciliidae,Gymnophiona,0,1
Oscaecilia_polyzona,Caeciliidae,Gymnophiona,0,1
Oscaecilia_zweifeli,Caeciliidae,Gymnophiona,0,1
Chikila_alcocki,Chikilidae,Gymnophiona,0,1
Chikila_darlong,Chikilidae,Gymnophiona,0,1
Chikila_fulleri,Chikilidae,Gymnophiona,0,1
Chikila_gaiduwani,Chikilidae,Gymnophiona,0,1
Dermophis_costaricense,Dermophiidae,Gymnophiona,0,1
Dermophis_glandulosus,Dermophiidae,Gymnophiona,0,1
Dermophis_gracilior,Dermophiidae,Gymnophiona,0,1
Dermophis_mexicanus,Dermophiidae,Gymnophiona,0,1
Dermophis_oaxacae,Dermophiidae,Gymnophiona,0,1
Dermophis_occidentalis,Dermophiidae,Gymnophiona,0,1
Dermophis_parviceps,Dermophiidae,Gymnophiona,0,1
Geotrypetes_angeli,Dermophiidae,Gymnophiona,0,1
Geotrypetes_pseudoangeli,Dermophiidae,Gymnophiona,0,1
Geotrypetes_seraphini,Dermophiidae,Gymnophiona,0,1
Gymnopis_multiplicata,Dermophiidae,Gymnophiona,0,1
Gymnopis_syntrema,Dermophiidae,Gymnophiona,0,1
Schistometopum_gregorii,Dermophiidae,Gymnophiona,0,1
Schistometopum_thomense,Dermophiidae,Gymnophiona,0,1
Boulengerula_boulengeri,Herpelidae,Gymnophiona,0,1
Boulengerula_changamwensis,Herpelidae,Gymnophiona,0,1
Boulengerula_denhardti,Herpelidae,Gymnophiona,0,1
Boulengerula_fischeri,Herpelidae,Gymnophiona,0,1
Boulengerula_niedeni,Herpelidae,Gymnophiona,0,1
Boulengerula_spawlsi,Herpelidae,Gymnophiona,0,1
Boulengerula_taitana,Herpelidae,Gymnophiona,0,1
Boulengerula_uluguruensis,Herpelidae,Gymnophiona,0,1
Herpele_multiplicata,Herpelidae,Gymnophiona,0,1
Herpele_squalostoma,Herpelidae,Gymnophiona,0,1
