state,name,value,hidden,observed
1A,lambda,0.015408007640858937,A,A
1A,mu,8.14110877938276e-14,A,A
1A,div,0.015408007640777526,A,A
2A,lambda,1.3859082346523717e-11,A,S
2A,mu,6.28464568761636e-16,A,S
2A,div,1.3858453881954955e-11,A,S
3A,lambda,0.13763109158075196,A,D
3A,mu,2.871390663583618e-16,A,D
3A,div,0.13763109158075168,A,D
4A,lambda,0.05737427213054693,A,L
4A,mu,3.103228763097118e-18,A,L
4A,div,0.05737427213054693,A,L
5A,lambda,0.020518454272277997,A,P
5A,mu,2.2429518199402612e-7,A,P
5A,div,0.020518229977096004,A,P
1B,lambda,0.07268751605664872,B,A
1B,mu,5.847164825588028e-25,B,A
1B,div,0.07268751605664872,B,A
2B,lambda,0.08574399229048639,B,S
2B,mu,4.996111500928795e-23,B,S
2B,div,0.08574399229048639,B,S
3B,lambda,0.0501104253304836,B,D
3B,mu,2.8826327297851483e-19,B,D
3B,div,0.0501104253304836,B,D
4B,lambda,7.394615208021456e-22,B,L
4B,mu,0.02024521994268576,B,L
4B,div,-0.02024521994268576,B,L
5B,lambda,0.44380013436612237,B,P
5B,mu,0.4841956505715934,B,P
5B,div,-0.04039551620547105,B,P
