order,family,species_asw,rep_mode
Anura,Allophrynidae,Allophryne_relicta,A
Anura,Allophrynidae,Allophryne_resplendens,A
Anura,Allophrynidae,Allophryne_ruthveni,A
Anura,Alsodidae,Alsodes_australis,A
Anura,Alsodidae,Alsodes_barrioi,A
Anura,Alsodidae,Alsodes_cantillanensis,A
Anura,Alsodidae,Alsodes_coppingeri,A
Anura,Alsodidae,Alsodes_gargola,A
Anura,Alsodidae,Alsodes_hugoi,A
Anura,Alsodidae,Alsodes_igneus,A
Anura,Alsodidae,Alsodes_kaweshkari,A
Anura,Alsodidae,Alsodes_montanus,A
Anura,Alsodidae,Alsodes_monticola,A
Anura,Alsodidae,Alsodes_neuquensis,A
Anura,Alsodidae,Alsodes_nodosus,A
Anura,Alsodidae,Alsodes_norae,A
Anura,Alsodidae,Alsodes_pehuenche,A
Anura,Alsodidae,Alsodes_tumultuosus,A
Anura,Alsodidae,Alsodes_valdiviensis,A
Anura,Alsodidae,Alsodes_vanzolinii,A
Anura,Alsodidae,Alsodes_verrucosus,A
Anura,Alsodidae,Alsodes_vittatus,A
Anura,Alsodidae,Eupsophus_altor,S
Anura,Alsodidae,Eupsophus_calcaratus,A
Anura,Alsodidae,Eupsophus_contulmoensis,S
Anura,Alsodidae,Eupsophus_emiliopugini,A
Anura,Alsodidae,Eupsophus_insularis,A
Anura,Alsodidae,Eupsophus_migueli,A
Anura,Alsodidae,Eupsophus_nahuelbutensis,S
Anura,Alsodidae,Eupsophus_roseus,A
Anura,Alsodidae,Eupsophus_septentrionalis,S
Anura,Alsodidae,Eupsophus_vertebralis,A
Anura,Alsodidae,Limnomedusa_macroglossa,A
Anura,Alytidae,Alytes_cisternasii,S
Anura,Alytidae,Alytes_dickhilleni,S
Anura,Alytidae,Alytes_maurus,S
Anura,Alytidae,Alytes_muletensis,S
Anura,Alytidae,Alytes_obstetricans,S
Anura,Alytidae,Discoglossus_galganoi,A
Anura,Alytidae,Discoglossus_jeanneae,A
Anura,Alytidae,Discoglossus_montalentii,A
Anura,Alytidae,Discoglossus_pictus,A
Anura,Alytidae,Discoglossus_sardus,A
Anura,Alytidae,Discoglossus_scovazzi,A
Anura,Alytidae,Latonia_nigriventer,A
Anura,Aromobatidae,Allobates_alessandroi,S
Anura,Aromobatidae,Allobates_algorei,S
Anura,Aromobatidae,Allobates_amissibilis,S
Anura,Aromobatidae,Allobates_bacurau,S
Anura,Aromobatidae,Allobates_bromelicola,S
Anura,Aromobatidae,Allobates_brunneus,S
Anura,Aromobatidae,Allobates_caeruleodactylus,S
Anura,Aromobatidae,Allobates_carajas,S
Anura,Aromobatidae,Allobates_caribe,S
Anura,Aromobatidae,Allobates_cepedai,S
Anura,Aromobatidae,Allobates_chalcopis,T
Anura,Aromobatidae,Allobates_conspicuus,S
Anura,Aromobatidae,Allobates_crombiei,S
Anura,Aromobatidae,Allobates_femoralis,S
Anura,Aromobatidae,Allobates_flaviventris,S
Anura,Aromobatidae,Allobates_fratisenescus,S
Anura,Aromobatidae,Allobates_fuscellus,S
Anura,Aromobatidae,Allobates_gasconi,S
Anura,Aromobatidae,Allobates_goianus,S
Anura,Aromobatidae,Allobates_granti,S
Anura,Aromobatidae,Allobates_grillisimilis,S
Anura,Aromobatidae,Allobates_hodli,S
Anura,Aromobatidae,Allobates_humilis,S
Anura,Aromobatidae,Allobates_ignotus,S
Anura,Aromobatidae,Allobates_insperatus,S
Anura,Aromobatidae,Allobates_juami,S
Anura,Aromobatidae,Allobates_juanii,S
Anura,Aromobatidae,Allobates_kingsburyi,S
Anura,Aromobatidae,Allobates_magnussoni,S
Anura,Aromobatidae,Allobates_mandelorum,S
Anura,Aromobatidae,Allobates_marchesianus,S
Anura,Aromobatidae,Allobates_masniger,S
Anura,Aromobatidae,Allobates_mcdiarmidi,S
Anura,Aromobatidae,Allobates_melanolaemus,S
Anura,Aromobatidae,Allobates_myersi,S
Anura,Aromobatidae,Allobates_nidicola,T
Anura,Aromobatidae,Allobates_niputidea,S
Anura,Aromobatidae,Allobates_olfersioides,S
Anura,Aromobatidae,Allobates_ornatus,T
Anura,Aromobatidae,Allobates_paleovarzensis,S
Anura,Aromobatidae,Allobates_picachos,S
Anura,Aromobatidae,Allobates_pittieri,S
Anura,Aromobatidae,Allobates_ranoides,S
Anura,Aromobatidae,Allobates_sanmartini,S
Anura,Aromobatidae,Allobates_subfolionidificans,S
Anura,Aromobatidae,Allobates_sumtuosus,S
Anura,Aromobatidae,Allobates_talamancae,S
Anura,Aromobatidae,Allobates_tapajos,S
Anura,Aromobatidae,Allobates_tinae,S
Anura,Aromobatidae,Allobates_trilineatus,S
Anura,Aromobatidae,Allobates_undulatus,S
Anura,Aromobatidae,Allobates_vanzolinius,S
Anura,Aromobatidae,Allobates_wayuu,S
Anura,Aromobatidae,Allobates_zaparo,S
Anura,Aromobatidae,Anomaloglossus_apiau,S
Anura,Aromobatidae,Anomaloglossus_ayarzaguenai,S
Anura,Aromobatidae,Anomaloglossus_baeobatrachus,S
Anura,Aromobatidae,Anomaloglossus_beebei,S
Anura,Aromobatidae,Anomaloglossus_blanci,S
Anura,Aromobatidae,Anomaloglossus_breweri,S
Anura,Aromobatidae,Anomaloglossus_degranvillei,T
Anura,Aromobatidae,Anomaloglossus_dewynteri,S
Anura,Aromobatidae,Anomaloglossus_guanayensis,S
Anura,Aromobatidae,Anomaloglossus_kaiei,S
Anura,Aromobatidae,Anomaloglossus_leopardus,S
Anura,Aromobatidae,Anomaloglossus_meansi,S
